,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
0,5,2,1,4.0,4.0,4.0,Walk,Car,None,Walk,Car,None,1.0
1,4,4,2,4.0,5.0,4.0,Walk,Cycle,Bus,Walk,Bus,Taxi/Private hire car,0.0
2,5,4,2,5.0,5.0,5.0,Cycle,Walk,Bus,Walk,Bus,Cycle,1.0
3,3,3,2,5.0,5.0,5.0,Walk,Bus,Cycle,Bus,Cycle,Walk,0.0
4,3,6,2,4.0,3.0,3.0,Car,Taxi/Private hire car,Walk,Car,Taxi/Private hire car,Walk,1.0
5,4,5,1,4.0,1.0,2.0,Bus,Car,Walk,Bus,Car,Walk,1.0
6,5,5,2,1.0,1.0,2.0,Car,Cycle,Bus,Bus,Car,Cycle,1.0
7,5,3,2,2.0,1.0,2.0,Bus,Car,Walk,Car,Bus,Walk,1.0
8,2,4,2,5.0,5.0,4.0,Walk,Cycle,Car,Walk,Cycle,Bus,1.0
9,5,5,2,3.0,4.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
10,3,5,2,5.0,4.0,3.0,Bus,Walk,Car,Bus,Walk,Car,1.0
11,5,5,2,4.0,4.0,4.0,Bus,Car,None,Bus,Car,None,1.0
12,5,3,2,4.0,4.0,1.0,Bus,Cycle,Taxi/Private hire car,Bus,Tram,Cycle,0.0
13,4,3,2,4.0,3.0,3.0,Walk,Car,Bus,Walk,Bus,Car,1.0
14,4,4,2,5.0,5.0,5.0,Car,Bus,None,Car,Bus,None,2.0
15,1,4,2,2.0,2.0,1.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Tram,1.0
16,4,2,2,5.0,5.0,5.0,Walk,Bus,Taxi/Private hire car,Bus,Taxi/Private hire car,Walk,0.0
17,1,5,1,3.0,4.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
19,3,4,2,4.0,5.0,1.0,Car,Walk,Bus,Bus,Car,Walk,1.0
20,3,2,2,4.0,4.0,4.0,Walk,Bus,None,Walk,Bus,None,1.0
21,5,4,1,2.0,2.0,1.0,Car,Walk,None,Car,Walk,None,2.0
22,3,5,1,1.0,3.0,2.0,Car,Walk,Bus,Car,Walk,Bus,2.0
23,1,4,2,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,None,0.0
25,4,5,1,4.0,4.0,4.0,Car,Walk,None,Car,Walk,None,2.0
26,4,2,1,4.0,4.0,4.0,Walk,Cycle,None,Walk,Cycle,None,0.0
27,2,1,2,5.0,3.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
28,3,2,1,5.0,5.0,5.0,Walk,Bus,Car,Bus,Car,Walk,1.0
29,2,1,1,4.0,3.0,1.0,Car,Walk,None,Car,Taxi/Private hire car,Walk,2.0
30,5,2,1,3.0,4.0,4.0,Car,Walk,None,Car,Walk,None,1.0
31,5,4,1,5.0,5.0,5.0,Walk,None,,Bus,Walk,None,1.0
32,1,3,2,5.0,5.0,2.0,Car,Taxi/Private hire car,Bus,Car,Taxi/Private hire car,Bus,1.0
33,2,5,2,1.0,3.0,1.0,Car,Taxi/Private hire car,Walk,Car,Tram,Walk,2.0
34,1,2,1,5.0,5.0,5.0,Walk,Bus,None,Walk,Bus,Taxi/Private hire car,0.0
35,1,2,1,4.0,3.0,1.0,Walk,Bus,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
36,2,4,2,5.0,5.0,4.0,Walk,Cycle,Car,Bus,Cycle,Walk,1.0
37,4,5,1,5.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Car,1.0
38,5,6,1,1.0,1.0,1.0,Car,Walk,None,Bus,Walk,Car,2.0
40,4,5,1,5.0,5.0,5.0,Walk,Bus,None,Bus,Walk,None,0.0
41,3,3,2,5.0,5.0,4.0,Walk,Bus,None,Walk,Bus,None,0.0
42,5,2,1,3.0,3.0,3.0,Walk,None,,None,,,0.0
43,3,3,1,5.0,5.0,5.0,Car,Walk,None,Car,Walk,Tram,1.0
44,4,4,2,4.0,5.0,4.0,Walk,Car,None,Car,Walk,None,1.0
45,2,6,2,2.0,2.0,2.0,Walk,Car,Bus,Bus,Walk,Tram,2.0
46,2,3,1,4.0,4.0,4.0,Walk,Bus,None,Bus,Tram,Walk,0.0
47,2,5,2,4.0,5.0,3.0,Walk,Bus,Car,Walk,Bus,Car,1.0
48,4,4,2,5.0,5.0,5.0,Walk,Bus,None,Walk,Bus,None,0.0
50,3,5,1,4.0,4.0,3.0,None,,,Bus,Car,Taxi/Private hire car,1.0
51,3,5,1,4.0,3.0,3.0,Walk,Car,Taxi/Private hire car,Walk,Bus,Car,0.0
52,1,2,1,3.0,3.0,3.0,Car,Taxi/Private hire car,Motorcycle,Car,Tram,Walk,2.0
53,4,4,2,5.0,5.0,4.0,Walk,Cycle,None,Cycle,Walk,Bus,0.0
55,4,5,1,5.0,5.0,3.0,Tram,Car,Walk,Walk,Cycle,Car,1.0
56,5,4,2,3.0,4.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
57,4,4,2,4.0,4.0,4.0,Walk,Car,Walk,Car,Tram,Other,1.0
59,5,4,1,3.0,4.0,4.0,Walk,Bus,Car,Bus,Walk,Car,1.0
60,3,5,2,5.0,5.0,5.0,Bus,Walk,Car,Bus,Car,Walk,1.0
61,3,1,1,3.0,4.0,3.0,Walk,Bus,Cycle,Bus,Walk,Taxi/Private hire car,0.0
62,5,3,1,5.0,5.0,5.0,Walk,Car,Bus,Walk,Car,Bus,1.0
63,3,4,1,4.0,1.0,1.0,Walk,Car,Bus,Walk,Car,Bus,1.0
64,5,2,2,3.0,4.0,1.0,Bus,Walk,Car,Bus,Car,Tram,1.0
65,5,1,2,5.0,5.0,5.0,Walk,Bus,None,Bus,Walk,Taxi/Private hire car,1.0
66,2,2,1,4.0,4.0,4.0,Bus,Tram,Walk,Bus,Car,Taxi/Private hire car,2.0
67,4,2,1,4.0,5.0,5.0,Walk,Bus,None,Bus,Walk,None,0.0
69,4,1,1,3.0,3.0,4.0,Car,Bus,Walk,Walk,Bus,None,1.0
70,1,3,2,3.0,5.0,5.0,Walk,Car,None,Walk,Car,Taxi/Private hire car,0.0
71,1,2,2,3.0,5.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
72,1,2,2,3.0,4.0,3.0,Walk,Bus,None,Walk,Bus,None,0.0
73,5,5,2,4.0,4.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
74,5,3,2,3.0,1.0,3.0,Walk,Bus,None,Bus,Walk,None,0.0
75,1,5,2,3.0,3.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
76,1,5,2,4.0,1.0,1.0,Car,Walk,None,Car,Walk,None,1.0
77,5,4,1,4.0,3.0,1.0,Car,Bus,None,Car,Bus,None,1.0
78,2,5,1,5.0,4.0,3.0,Car,None,,Car,None,,2.0
79,3,3,1,3.0,3.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Taxi/Private hire car,Walk,0.0
80,3,5,1,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,None,1.0
81,3,3,1,4.0,5.0,3.0,Walk,Bus,Car,Bus,Walk,Car,1.0
82,5,5,2,5.0,4.0,5.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
83,2,4,2,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,Tram,0.0
84,3,1,2,4.0,5.0,4.0,Car,Bus,None,Car,Bus,Walk,2.0
85,4,5,1,4.0,5.0,5.0,Walk,Bus,Tram,Bus,Taxi/Private hire car,Walk,1.0
86,5,4,1,5.0,5.0,4.0,Cycle,Walk,Bus,Bus,Cycle,Walk,0.0
87,5,5,1,2.0,2.0,2.0,Car,Walk,None,Car,Walk,Bus,2.0
88,4,4,1,1.0,1.0,1.0,Car,Walk,None,Car,Walk,None,1.0
89,5,6,2,5.0,5.0,5.0,Walk,Cycle,Car,Bus,Car,Walk,2.0
90,2,4,2,4.0,4.0,3.0,Walk,Bus,None,Bus,Walk,Tram,0.0
91,1,4,1,3.0,4.0,4.0,Walk,None,,Walk,Bus,None,0.0
92,5,1,1,4.0,1.0,4.0,Bus,Tram,Walk,Car,Bus,Tram,2.0
93,4,3,1,4.0,4.0,4.0,Walk,Car,Bus,Bus,Car,Walk,1.0
94,4,3,2,5.0,5.0,5.0,Car,Walk,Bus,Car,Bus,Taxi/Private hire car,2.0
95,4,5,1,3.0,4.0,1.0,Walk,Taxi/Private hire car,None,Bus,Walk,Tram,0.0
96,2,5,2,2.0,2.0,2.0,Car,Walk,None,Bus,Car,Taxi/Private hire car,1.0
97,2,1,1,5.0,5.0,5.0,Car,Walk,Taxi/Private hire car,Bus,Tram,Walk,0.0
98,3,3,1,5.0,5.0,5.0,Bus,Car,Cycle,Bus,Car,Cycle,1.0
99,5,6,2,4.0,4.0,4.0,Walk,Bus,Car,Walk,Bus,Car,1.0
100,3,5,2,5.0,5.0,5.0,Bus,Walk,Car,Bus,Walk,Car,1.0
101,5,1,2,3.0,4.0,3.0,Bus,Car,Walk,Bus,Car,None,1.0
102,3,2,1,3.0,3.0,2.0,Walk,Car,None,Car,Bus,Walk,1.0
103,2,3,2,2.0,2.0,2.0,Walk,Car,Bus,Walk,Car,Bus,1.0
104,2,2,1,5.0,4.0,4.0,Car,Walk,None,Car,Tram,Walk,1.0
105,5,2,2,4.0,4.0,3.0,Walk,Car,Bus,Car,Bus,Walk,2.0
106,4,4,2,5.0,5.0,5.0,Walk,Cycle,Bus,Bus,Cycle,Walk,0.0
107,5,4,1,5.0,5.0,5.0,Bus,Walk,None,Bus,Tram,Walk,0.0
108,5,3,2,5.0,5.0,5.0,Car,Bus,Motorcycle,Car,Bus,Motorcycle,1.0
109,2,5,1,5.0,4.0,4.0,Car,Walk,Cycle,Car,Bus,Tram,2.0
110,3,6,1,3.0,4.0,4.0,Bus,Walk,Tram,Bus,Walk,Tram,0.0
111,2,5,2,1.0,4.0,4.0,Car,Tram,Bus,Walk,Car,Tram,2.0
112,2,5,2,4.0,4.0,4.0,Walk,Bus,Walk,Walk,Bus,Walk,1.0
113,4,3,1,4.0,4.0,3.0,Car,Walk,Bus,Car,Walk,Bus,1.0
114,3,5,1,4.0,1.0,1.0,Car,None,,Car,Bus,Walk,1.0
115,4,3,1,2.0,3.0,2.0,Car,None,,Car,None,,2.0
116,2,1,1,5.0,5.0,1.0,Bus,Walk,Tram,Bus,Cycle,Tram,1.0
117,5,4,2,3.0,4.0,1.0,None,,,Car,Cycle,Walk,1.0
118,5,1,1,4.0,5.0,4.0,Car,Walk,Tram,Car,Walk,Bus,2.0
120,1,2,2,5.0,5.0,5.0,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,None,0.0
121,3,3,1,3.0,3.0,3.0,Car,Walk,Taxi/Private hire car,Car,Taxi/Private hire car,Bus,2.0
122,5,3,1,3.0,5.0,3.0,None,,,Walk,Bus,None,1.0
123,4,2,1,5.0,5.0,5.0,Car,Tram,Cycle,Car,Taxi/Private hire car,Walk,2.0
124,2,4,1,5.0,5.0,5.0,Car,Walk,Cycle,Car,Walk,Cycle,1.0
125,3,3,2,3.0,3.0,3.0,Walk,Cycle,Car,Car,Walk,Tram,2.0
126,1,2,1,4.0,4.0,4.0,Walk,Bus,Tram,Walk,Bus,Tram,0.0
127,3,4,1,5.0,5.0,5.0,Cycle,Walk,Car,Car,Cycle,Walk,1.0
129,3,1,1,4.0,4.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
130,2,2,1,4.0,5.0,4.0,Taxi/Private hire car,Walk,Bus,Motorcycle,Bus,Cycle,2.0
131,1,1,1,4.0,5.0,1.0,Walk,Car,Taxi/Private hire car,Bus,Tram,Taxi/Private hire car,1.0
132,3,3,1,5.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Bus,1.0
133,5,2,2,1.0,4.0,1.0,Car,Walk,Bus,Bus,Tram,Other,1.0
134,5,2,2,4.0,4.0,4.0,Car,Bus,Cycle,Car,Bus,Walk,1.0
135,4,4,1,3.0,3.0,2.0,Car,Walk,None,Bus,Taxi/Private hire car,Walk,2.0
136,2,2,1,3.0,4.0,3.0,Bus,Walk,Tram,Bus,Walk,Tram,0.0
137,3,3,2,3.0,3.0,3.0,Walk,Cycle,Car,Walk,Cycle,Car,1.0
138,1,1,2,1.0,4.0,3.0,Walk,Car,Taxi/Private hire car,Car,Walk,Bus,2.0
139,5,4,2,4.0,4.0,4.0,Walk,Bus,Cycle,Walk,Bus,Cycle,0.0
140,4,3,1,4.0,3.0,4.0,Walk,Car,Bus,Car,Bus,Walk,1.0
141,4,2,1,5.0,5.0,5.0,Cycle,Walk,None,Cycle,Bus,Walk,0.0
143,4,2,1,4.0,4.0,5.0,Cycle,Walk,Bus,Cycle,Bus,Walk,1.0
144,1,1,1,5.0,5.0,4.0,Walk,Cycle,Car,Car,Walk,None,2.0
145,4,3,1,5.0,5.0,5.0,Cycle,Walk,Bus,Bus,Walk,Cycle,0.0
146,2,4,2,2.0,2.0,2.0,Car,Walk,Tram,Walk,Bus,Tram,2.0
147,3,2,2,5.0,5.0,5.0,Walk,Bus,Car,Walk,Bus,Car,1.0
148,2,2,1,4.0,3.0,2.0,Car,Bus,Walk,Bus,Walk,Car,1.0
149,4,5,1,4.0,4.0,3.0,Walk,Car,Bus,Walk,Car,Bus,1.0
150,3,7,2,4.0,4.0,3.0,Car,Walk,Bus,Car,Bus,Walk,1.0
151,2,2,1,1.0,1.0,1.0,Car,None,,Car,Bus,Tram,2.0
152,2,3,2,5.0,4.0,4.0,Walk,Car,Bus,Walk,Car,Bus,2.0
153,5,3,1,4.0,5.0,5.0,Car,Bus,Walk,Walk,Car,Cycle,1.0
154,2,1,1,5.0,5.0,4.0,Walk,Tram,None,Bus,Walk,Tram,0.0
155,5,4,2,4.0,4.0,5.0,Other,Walk,None,Walk,Other,None,0.0
156,4,2,2,5.0,3.0,5.0,Taxi/Private hire car,Bus,None,None,,,1.0
157,2,4,1,1.0,1.0,1.0,Car,Walk,Bus,Bus,Car,Walk,1.0
158,5,3,1,1.0,1.0,5.0,Tram,Car,Walk,Tram,Car,Walk,1.0
159,5,6,2,5.0,5.0,5.0,Walk,Bus,Tram,Bus,Taxi/Private hire car,Tram,0.0
160,5,4,1,5.0,5.0,3.0,Car,Walk,Cycle,None,,,2.0
161,2,4,2,4.0,4.0,5.0,Bus,Car,Bus,Bus,Car,Walk,1.0
162,4,4,1,2.0,2.0,2.0,Car,Walk,None,Car,Walk,None,1.0
163,2,3,2,4.0,4.0,4.0,Walk,Bus,Car,Walk,Car,Bus,2.0
164,5,3,1,4.0,3.0,3.0,Walk,Car,None,Car,Walk,Bus,1.0
165,3,3,1,4.0,4.0,4.0,Walk,Car,Bus,Walk,Bus,Car,1.0
167,2,1,1,3.0,1.0,1.0,Bus,Walk,Motorcycle,Tram,Taxi/Private hire car,Car,2.0
168,4,1,2,4.0,4.0,4.0,Car,Walk,Cycle,Car,Bus,Walk,2.0
169,5,4,2,4.0,5.0,3.0,Walk,Cycle,Car,Car,Walk,Cycle,1.0
170,5,1,1,5.0,5.0,4.0,Walk,Car,Cycle,Car,Bus,Taxi/Private hire car,1.0
171,5,2,1,4.0,5.0,5.0,Walk,Bus,Car,Walk,Bus,Car,0.0
172,3,2,2,5.0,5.0,5.0,Car,Walk,Bus,Bus,Walk,Car,1.0
173,5,3,2,5.0,5.0,5.0,Walk,Bus,Car,Walk,Bus,Taxi/Private hire car,2.0
174,3,6,2,3.0,3.0,2.0,Bus,Car,Walk,Bus,Car,Walk,2.0
175,2,5,2,4.0,4.0,4.0,Bus,Car,Walk,Car,Bus,Walk,1.0
176,2,2,1,5.0,5.0,5.0,Car,Walk,None,Car,Bus,Tram,2.0
177,2,4,1,1.0,3.0,1.0,Car,None,,Car,None,,1.0
178,2,1,2,4.0,4.0,3.0,Walk,Bus,None,Bus,Walk,None,0.0
179,5,4,2,3.0,3.0,4.0,Car,Bus,Walk,Walk,Car,Bus,1.0
180,3,2,2,5.0,5.0,5.0,Walk,Bus,Car,Bus,Walk,None,1.0
181,5,5,2,5.0,5.0,5.0,Car,Walk,None,Car,Bus,Walk,1.0
182,5,3,1,3.0,1.0,5.0,Walk,Car,Bus,Walk,Bus,Car,1.0
183,3,5,1,2.0,2.0,2.0,Bus,Walk,None,Bus,Walk,None,1.0
184,5,2,2,4.0,4.0,4.0,Bus,Walk,Car,Bus,Walk,Car,0.0
185,4,4,2,2.0,2.0,2.0,Car,Bus,Taxi/Private hire car,Car,Bus,Taxi/Private hire car,2.0
186,5,4,1,5.0,5.0,5.0,Walk,Cycle,Bus,Bus,Walk,Cycle,0.0
187,3,3,1,5.0,5.0,5.0,Walk,Car,Cycle,Bus,None,,1.0
188,5,1,2,4.0,4.0,3.0,Car,Walk,Cycle,Bus,Car,Walk,2.0
189,3,2,1,5.0,5.0,5.0,Walk,Bus,None,Bus,Tram,Walk,0.0
190,3,5,2,5.0,5.0,5.0,Bus,Walk,Car,Bus,Car,Walk,1.0
191,1,2,1,4.0,3.0,1.0,Bus,Car,Taxi/Private hire car,Taxi/Private hire car,Bus,Taxi/Private hire car,2.0
192,5,1,1,5.0,1.0,5.0,Tram,Car,Bus,Bus,Car,Bus,2.0
193,3,3,1,5.0,5.0,5.0,Car,Walk,None,Car,Walk,None,1.0
194,4,3,1,3.0,4.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
195,5,6,2,2.0,2.0,2.0,Bus,Car,Walk,Bus,Car,Walk,1.0
196,3,5,2,5.0,4.0,3.0,Bus,Walk,Car,Bus,Walk,Car,1.0
197,1,3,1,3.0,3.0,3.0,Bus,Car,Walk,Bus,Car,Walk,1.0
198,5,5,2,2.0,2.0,2.0,Car,Walk,None,Car,Walk,None,1.0
199,2,2,1,3.0,3.0,4.0,Walk,Bus,Car,Walk,Bus,Car,0.0
200,4,2,1,2.0,2.0,2.0,Car,Walk,None,Car,Walk,Bus,2.0
201,3,4,1,3.0,3.0,3.0,Car,None,,Car,None,,2.0
202,3,3,1,3.0,4.0,1.0,Car,Walk,Bus,Bus,Taxi/Private hire car,Walk,1.0
203,3,5,2,5.0,5.0,5.0,Walk,Bus,Car,Walk,Bus,Car,1.0
204,2,4,1,3.0,3.0,3.0,Walk,Bus,None,Bus,Tram,Walk,0.0
205,2,2,1,1.0,3.0,2.0,Tram,Walk,Tram,Bus,Walk,Tram,1.0
206,4,2,1,3.0,3.0,1.0,Wheelchair or mobility scooter,Taxi/Private hire car,Motorcycle,Walk,Taxi/Private hire car,Bus,2.0
207,3,2,2,4.0,1.0,2.0,Car,Cycle,Walk,Bus,Cycle,Bus,2.0
208,2,4,2,4.0,4.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Taxi/Private hire car,Walk,0.0
209,3,4,2,4.0,3.0,3.0,Car,Walk,Bus,Bus,Cycle,Walk,2.0
210,4,4,1,2.0,2.0,2.0,Car,Walk,None,Car,Bus,Walk,1.0
211,2,2,1,5.0,4.0,4.0,Walk,Bus,None,Bus,Taxi/Private hire car,None,0.0
212,2,2,1,4.0,4.0,3.0,Walk,Bus,None,Bus,Taxi/Private hire car,None,0.0
213,5,3,1,5.0,5.0,5.0,Walk,Bus,Walk,Bus,Walk,Bus,0.0
214,2,1,2,4.0,4.0,5.0,Bus,Walk,None,Bus,Taxi/Private hire car,Motorcycle,0.0
215,3,2,1,3.0,4.0,1.0,Walk,Car,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,1.0
216,2,3,2,4.0,1.0,1.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
217,1,3,1,3.0,3.0,3.0,Car,Bus,Walk,Car,Bus,Walk,1.0
218,5,2,1,4.0,4.0,4.0,Car,Walk,None,Car,Bus,Taxi/Private hire car,1.0
219,4,5,2,4.0,3.0,3.0,Walk,None,,Walk,Bus,None,0.0
220,3,3,1,5.0,1.0,1.0,Walk,Car,None,Walk,Car,None,2.0
221,5,5,2,5.0,5.0,5.0,Bus,Tram,None,Bus,Tram,Walk,0.0
222,2,3,2,5.0,5.0,5.0,Car,Walk,Bus,Car,Walk,Bus,2.0
223,4,3,2,5.0,4.0,1.0,Walk,Bus,Car,Walk,Bus,Car,1.0
224,5,3,1,3.0,3.0,3.0,Walk,Bus,Tram,Bus,Walk,Tram,0.0
225,5,3,1,3.0,5.0,3.0,Bus,Car,Walk,Bus,Walk,Car,1.0
226,5,6,2,3.0,4.0,4.0,Car,Walk,Bus,Bus,Car,Walk,2.0
227,5,2,1,5.0,5.0,5.0,Walk,Car,Bus,Bus,Walk,Car,1.0
228,2,2,1,4.0,2.0,2.0,Car,Walk,Bus,Bus,Walk,Car,1.0
229,2,2,1,5.0,4.0,4.0,Car,Taxi/Private hire car,Walk,Walk,Bus,Car,2.0
230,1,2,1,5.0,4.0,5.0,Car,Walk,Bus,Car,Bus,Walk,1.0
231,5,2,1,2.0,2.0,2.0,Car,Walk,Bus,Car,Bus,Car,2.0
232,4,5,1,4.0,4.0,3.0,Walk,Bus,Car,Bus,Walk,Car,1.0
233,2,1,2,5.0,3.0,3.0,Car,Walk,Cycle,Car,Walk,Cycle,1.0
234,3,6,2,1.0,2.0,2.0,Bus,Car,Walk,Bus,Car,Walk,2.0
235,1,5,1,4.0,5.0,4.0,Bus,Walk,Car,Walk,Car,Taxi/Private hire car,1.0
236,5,2,1,3.0,4.0,3.0,Car,Walk,None,Car,Walk,None,1.0
237,5,4,1,5.0,5.0,5.0,Walk,Car,Bus,Walk,Car,Bus,1.0
238,2,5,2,3.0,5.0,3.0,Walk,Car,Tram,Tram,Car,Walk,1.0
239,5,3,2,4.0,1.0,1.0,Walk,Car,None,Car,Walk,None,2.0
240,1,3,2,2.0,2.0,2.0,Walk,Car,Bus,Walk,Car,Bus,1.0
241,3,4,2,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,Taxi/Private hire car,0.0
242,3,4,2,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,Taxi/Private hire car,0.0
243,4,4,1,5.0,4.0,3.0,Bus,Walk,Tram,Walk,Bus,Tram,0.0
244,4,6,2,5.0,2.0,1.0,Car,Walk,Bus,Car,Walk,Bus,2.0
245,4,3,1,4.0,4.0,4.0,Car,Walk,None,Car,Taxi/Private hire car,Walk,2.0
246,5,5,1,2.0,3.0,2.0,Walk,Car,Bus,Bus,Car,Walk,1.0
247,4,3,2,3.0,1.0,3.0,Walk,Car,Bus,Walk,Bus,Car,1.0
248,2,4,2,5.0,3.0,1.0,Car,Walk,Bus,Bus,Car,Walk,1.0
249,2,2,2,4.0,5.0,4.0,Walk,None,,Walk,Bus,None,0.0
250,5,2,1,5.0,5.0,5.0,Bus,Tram,Walk,Bus,Taxi/Private hire car,Car,2.0
251,5,2,1,5.0,2.0,2.0,Car,Taxi/Private hire car,None,Car,Taxi/Private hire car,Bus,2.0
252,2,5,1,5.0,5.0,5.0,Walk,Other,Car,Walk,Car,Other,1.0
253,3,6,1,2.0,2.0,2.0,Car,None,,Car,Bus,None,1.0
254,2,2,1,5.0,5.0,5.0,Walk,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,0.0
255,4,6,1,5.0,5.0,5.0,Bus,Walk,Cycle,Bus,Walk,Cycle,0.0
256,5,2,2,5.0,5.0,5.0,Walk,Car,Bus,Bus,Car,Walk,1.0
257,5,3,1,5.0,5.0,5.0,Walk,None,,Bus,Walk,Car,0.0
258,2,5,1,5.0,4.0,3.0,Walk,Car,Bus,Walk,Car,Bus,1.0
259,3,5,2,5.0,5.0,5.0,Walk,Bus,Car,Bus,Car,Walk,1.0
260,3,6,1,3.0,3.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
261,5,3,2,4.0,4.0,4.0,Bus,Walk,Cycle,Bus,Walk,Cycle,1.0
262,2,2,1,1.0,2.0,2.0,Car,Walk,Other,Car,Walk,Other,1.0
263,5,3,2,4.0,3.0,3.0,Walk,Bus,None,Bus,Walk,None,0.0
264,2,2,1,5.0,5.0,3.0,Walk,Car,Bus,Car,Walk,Bus,1.0
265,5,3,1,4.0,4.0,4.0,Car,Walk,Cycle,Car,Walk,Bus,1.0
266,2,6,1,4.0,5.0,4.0,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,Walk,0.0
267,2,6,1,4.0,1.0,3.0,Car,Bus,Walk,Bus,Car,Walk,1.0
268,3,5,1,5.0,4.0,4.0,Walk,Car,Cycle,Bus,Car,Cycle,1.0
269,1,4,1,4.0,4.0,4.0,Bus,Car,Walk,Bus,Car,Walk,1.0
270,3,5,2,5.0,5.0,4.0,Bus,Walk,Car,Bus,Walk,Car,1.0
271,5,2,1,4.0,1.0,1.0,Bus,Walk,Car,Bus,Car,Walk,1.0
272,4,1,1,4.0,5.0,5.0,Cycle,Bus,Walk,Bus,Cycle,Walk,0.0
273,5,2,2,2.0,2.0,2.0,Car,Walk,Bus,Car,Walk,Bus,1.0
274,5,4,2,4.0,4.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
275,1,2,1,5.0,5.0,4.0,Walk,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,0.0
276,3,1,2,4.0,5.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
278,1,6,2,2.0,2.0,2.0,Car,Walk,None,Car,Bus,Walk,1.0
